127.0.0.1 - - [06/May/2019:23:11:00 -0300] "GET / HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/May/2019:23:11:15 -0300] "GET /java-jsf-primefaces-basico/ HTTP/1.1" 200 6848
0:0:0:0:0:0:0:1 - - [06/May/2019:23:11:16 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:23:11:16 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [06/May/2019:23:11:16 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/primefaces.css.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6?ln=primefaces&v=5.3 HTTP/1.1" 200 71007
0:0:0:0:0:0:0:1 - - [06/May/2019:23:11:16 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [06/May/2019:23:11:16 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/primefaces.js.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [06/May/2019:23:11:16 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:23:11:16 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:23:15:09 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:23:15:24 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6 HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [06/May/2019:23:15:25 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6 HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [06/May/2019:23:15:30 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [06/May/2019:23:15:31 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [06/May/2019:23:15:33 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [06/May/2019:23:15:34 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [06/May/2019:23:15:35 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [06/May/2019:23:15:37 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [06/May/2019:23:15:38 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [06/May/2019:23:15:41 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [06/May/2019:23:15:42 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [06/May/2019:23:15:43 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [06/May/2019:23:16:09 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6 HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [06/May/2019:23:16:10 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6 HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [06/May/2019:23:16:11 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6 HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [06/May/2019:23:16:16 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:23:16:19 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:23:16:19 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:23:16:20 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6 HTTP/1.1" 200 5886
0:0:0:0:0:0:0:1 - - [06/May/2019:23:16:20 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-icons_2e83ff_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:23:16:20 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:23:16:47 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:23:20:35 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:23:20:36 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=20585F72DC05F6133193EF7EB9B7AAC6 HTTP/1.1" 200 6062
0:0:0:0:0:0:0:1 - - [06/May/2019:23:20:36 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:23:20:36 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-icons_2e83ff_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:23:21:04 -0300] "GET /java-jsf-primefaces-basico/ HTTP/1.1" 200 7234
0:0:0:0:0:0:0:1 - - [06/May/2019:23:21:10 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:23:21:10 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/primefaces.css.xhtml;jsessionid=9C24F7578718923FC59B0724DAE0F2DD?ln=primefaces&v=5.3 HTTP/1.1" 200 71007
0:0:0:0:0:0:0:1 - - [06/May/2019:23:21:10 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=9C24F7578718923FC59B0724DAE0F2DD?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [06/May/2019:23:21:10 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/primefaces.js.xhtml;jsessionid=9C24F7578718923FC59B0724DAE0F2DD?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [06/May/2019:23:21:11 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=9C24F7578718923FC59B0724DAE0F2DD?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [06/May/2019:23:21:11 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:23:21:12 -0300] "GET /favicon.ico HTTP/1.1" 404 1097
