0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:09 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:10 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:11 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:12 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:13 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 2832
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:16 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 5269
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:16 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 27245
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:16 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-icons_2e83ff_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:28 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:29 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:31 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:32 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:32 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:35 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:36 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:37 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:38 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:39 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:40 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:42 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:47 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:48 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:50 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:50 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:53 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 5486
