127.0.0.1 - - [08/May/2019:19:46:53 -0300] "GET / HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [08/May/2019:19:47:12 -0300] "GET /java-jsf-primefaces-basico/ HTTP/1.1" 200 7234
0:0:0:0:0:0:0:1 - - [08/May/2019:19:47:13 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:47:13 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=72BA1F1972FD51C99ABC91EE314845FF?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [08/May/2019:19:47:13 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/primefaces.css.xhtml;jsessionid=72BA1F1972FD51C99ABC91EE314845FF?ln=primefaces&v=5.3 HTTP/1.1" 200 71007
0:0:0:0:0:0:0:1 - - [08/May/2019:19:47:13 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=72BA1F1972FD51C99ABC91EE314845FF?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [08/May/2019:19:47:13 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/primefaces.js.xhtml;jsessionid=72BA1F1972FD51C99ABC91EE314845FF?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [08/May/2019:19:47:14 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:47:14 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:08 -0300] "GET /java-jsf-primefaces-basico/ HTTP/1.1" 200 7233
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:08 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:08 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/primefaces.css.xhtml;jsessionid=867C08A8BFB965746C9A7517C379B6FA?ln=primefaces&v=5.3 HTTP/1.1" 200 71007
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:08 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=867C08A8BFB965746C9A7517C379B6FA?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:08 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=867C08A8BFB965746C9A7517C379B6FA?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:08 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/primefaces.js.xhtml;jsessionid=867C08A8BFB965746C9A7517C379B6FA?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:10 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:12 -0300] "GET /favicon.ico HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:12 -0300] "GET /java-jsf-primefaces-basico/ HTTP/1.1" 200 7014
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:30 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:32 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:33 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:33 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:35 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:35 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:35 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:36 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:36 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:38 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:39 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:39 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:40 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:41 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:41 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:43 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:43 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:43 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:43 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:44 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:45 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:49:45 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:19:52:03 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2019:20:18:56 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=867C08A8BFB965746C9A7517C379B6FA HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [08/May/2019:20:18:56 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=867C08A8BFB965746C9A7517C379B6FA HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [08/May/2019:20:18:57 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=867C08A8BFB965746C9A7517C379B6FA HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [08/May/2019:20:19:21 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=867C08A8BFB965746C9A7517C379B6FA HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [08/May/2019:20:19:22 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=867C08A8BFB965746C9A7517C379B6FA HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [08/May/2019:20:19:24 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=867C08A8BFB965746C9A7517C379B6FA HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [08/May/2019:20:19:26 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=867C08A8BFB965746C9A7517C379B6FA HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [08/May/2019:20:19:27 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=867C08A8BFB965746C9A7517C379B6FA HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [08/May/2019:20:19:28 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=867C08A8BFB965746C9A7517C379B6FA HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [08/May/2019:20:19:31 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=867C08A8BFB965746C9A7517C379B6FA HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [08/May/2019:20:19:32 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=867C08A8BFB965746C9A7517C379B6FA HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [08/May/2019:20:19:38 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=867C08A8BFB965746C9A7517C379B6FA HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [08/May/2019:20:19:41 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=867C08A8BFB965746C9A7517C379B6FA HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [08/May/2019:20:19:42 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=867C08A8BFB965746C9A7517C379B6FA HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [08/May/2019:20:19:46 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=867C08A8BFB965746C9A7517C379B6FA HTTP/1.1" 200 374
