0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:40:13 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=C778007C331FFE6E71D24E71157835D1 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:40:13 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=C778007C331FFE6E71D24E71157835D1 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:40:14 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=C778007C331FFE6E71D24E71157835D1 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:40:16 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=C778007C331FFE6E71D24E71157835D1 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:40:16 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:40:16 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:40:17 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 2832
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:40:18 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=C778007C331FFE6E71D24E71157835D1 HTTP/1.1" 200 5276
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:40:18 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-icons_2e83ff_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:40:18 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 27245
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:41:37 -0300] "GET /java-jsf-primefaces-basico/ HTTP/1.1" 200 6449
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:41:39 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 29458
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:41:39 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/primefaces.css.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684?ln=primefaces&v=5.3 HTTP/1.1" 200 71007
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:41:39 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:41:39 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:41:39 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/primefaces.js.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:41:40 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:41:40 -0300] "GET /favicon.ico HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:41:41 -0300] "GET /java-jsf-primefaces-basico/ HTTP/1.1" 200 6229
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:08 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684 HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:08 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684 HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:09 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684 HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:11 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684 HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:12 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684 HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:13 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684 HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:14 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684 HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:23 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684 HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:24 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684 HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:30 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684 HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:31 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684 HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:34 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684 HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:37 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684 HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:38 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684 HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:39 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684 HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:40 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684 HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:40 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684 HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:42 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684 HTTP/1.1" 200 5504
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:42 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-icons_2e83ff_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:42:42 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 27245
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:43:20 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=5D46522E1CBB262DB1B9381DEE35A684 HTTP/1.1" 200 5680
